Player,Pos,Squad,Comp,npxG,-9999
Saîf-Eddine Khaoui,MFFW,Clermont Foot,fr Ligue 1,2.1,796b1c41
Joshua Kimmich,MF,Bayern Munich,de Bundesliga,2.1,49296448
Enzo Le Fée,MFFW,Lorient,fr Ligue 1,2.1,6f806d99
Manuel Locatelli,MF,Juventus,it Serie A,2.1,a8a874f1
Eduard Löwen,MF,Bochum,de Bundesliga,2.1,70678132
Saša Lukić,MF,Torino,it Serie A,2.1,c6e8cf1f
Iñigo Martínez,DF,Athletic Club,es La Liga,2.1,3fc45c73
Édgar Méndez,FWMF,Alavés,es La Liga,2.1,aed746df
Miguel,FWMF,Alavés,es La Liga,2.1,6763373d
Nikola Milenković,DF,Fiorentina,it Serie A,2.1,bee704fc
Moussa Niakhate,DF,Mainz 05,de Bundesliga,2.1,00242715
Gerzino Nyamsi,DF,Strasbourg,fr Ligue 1,2.1,6043997c
Dani Olmo,MF,RB Leipzig,de Bundesliga,2.1,ae44e8e2
Reece Oxford,DF,Augsburg,de Bundesliga,2.1,8b6e0db2
Gonçalo Paciência,FW,Eint Frankfurt,de Bundesliga,2.1,962e54cb
Gerard Piqué,DF,Barcelona,es La Liga,2.1,adfc9123
Davinson Sánchez,DF,Tottenham,eng Premier League,2.1,da7b447d
Chris Wood,FW,Newcastle Utd,eng Premier League,2.1,4e9a0555
Simon Zoller,FW,Bochum,de Bundesliga,2.1,29f7cfd9
Laurent Abergel,MF,Lorient,fr Ligue 1,2.0,31626657
Carles Aleñá,MF,Getafe,es La Liga,2.0,6c811eb7
Youcef Belaïli,MFFW,Brest,fr Ligue 1,2.0,1a248246
Jason Berthomier,MF,Clermont Foot,fr Ligue 1,2.0,03e91055
Giulian Biancone,DF,Troyes,fr Ligue 1,2.0,de40e38c
Conor Coady,DF,Wolves,eng Premier League,2.0,2928dca2
Philippe Coutinho,MFFW,Barcelona,es La Liga,2.0,0ef89a37
Juan Cuadrado,DFMF,Juventus,it Serie A,2.0,0ab1f153
Stuart Dallas,DFMF,Leeds United,eng Premier League,2.0,67ca8566
Lorenzo De Silvestri,DF,Bologna,it Serie A,2.0,e74f0e59
Mario Hermoso,DF,Atlético Madrid,es La Liga,2.0,555f3a0b
Nicolas Höfler,MF,Freiburg,de Bundesliga,2.0,5d8e331f
Pierre Højbjerg,MF,Tottenham,eng Premier League,2.0,8b04d6c1
Roger Ibanez,DF,Roma,it Serie A,2.0,82efe6fa
Adam Idah,FWMF,Norwich City,eng Premier League,2.0,291e3ec3
Pavel Kadeřábek,DF,Hoffenheim,de Bundesliga,2.0,79c90e45
Toni Kroos,MF,Real Madrid,es La Liga,2.0,6ce1f46f
Douglas Luiz,MF,Aston Villa,eng Premier League,2.0,6f7d826d
Borja Mayoral,FW,Getafe,es La Liga,2.0,64e8ed6d
Luka Modrić,MF,Real Madrid,es La Liga,2.0,6025fab1
Ezequiel Ponce,FW,Elche,es La Liga,2.0,ccbbe661
Pere Pons,MF,Alavés,es La Liga,2.0,29b61deb
Abdón Prats,FW,Mallorca,es La Liga,2.0,d1b060e2
Sebastian Rudy,MF,Hoffenheim,de Bundesliga,2.0,80f36c88
Riccardo Saponara,FW,Fiorentina,it Serie A,2.0,3bb7af3b
Mattias Svanberg,MF,Bologna,it Serie A,2.0,92d83c27
James Tarkowski,DF,Burnley,eng Premier League,2.0,15ea812b
Romain Thomas,DF,Angers,fr Ligue 1,2.0,275e2c51
Martín Zubimendi,MF,Real Sociedad,es La Liga,2.0,3ee0dd59
Filip Đuričić,MFFW,Sassuolo,it Serie A,2.0,eccbe56a
Felix Afena-Gyan,FWMF,Roma,it Serie A,1.9,0154d290
Nayef Aguerd,DF,Rennes,fr Ligue 1,1.9,288e1e13
Daniel Caligiuri,DFMF,Augsburg,de Bundesliga,1.9,d1273f09
Xavier Chavalerin,MFFW,Troyes,fr Ligue 1,1.9,279ddf6a
Danilo D'Ambrosio,DF,Inter,it Serie A,1.9,44eb9093
Kerem Demirbay,MF,Leverkusen,de Bundesliga,1.9,54b4dc4e
Axel Disasi,DF,Monaco,fr Ligue 1,1.9,ad82197c
Jurgen Ekkelenkamp,MFFW,Hertha BSC,de Bundesliga,1.9,73d6a176
