Rk,Player,Pos,Squad,Comp,90s,1/3
990,José Luis Palomino\921f6058,DF,Atalanta,it Serie A,29.7,17
991,Rolando Mandragora\c7259b83,MF,Torino,it Serie A,14.7,17
992,Édgar Méndez\aed746df,FWMF,Alavés,es La Liga,17.9,17
993,Manu Morlanes\a0255c67,MF,Espanyol,es La Liga,12.7,17
994,Nacho\2946f9a1,DF,Real Madrid,es La Liga,17.3,17
995,Bastian Oczipka\d1661819,DF,Union Berlin,de Bundesliga,10.4,17
996,Exequiel Palacios\e82adcab,MF,Leverkusen,de Bundesliga,12.2,17
997,Miloš Pantović\5dc15574,MFFW,Bochum,de Bundesliga,17.0,17
998,Lucas Pérez\a300ac7e,FW,Elche,es La Liga,14.1,17
999,Quini\7a538238,DF,Granada,es La Liga,25.6,17
1000,Samuele Ricci\9823be92,MF,Empoli,it Serie A,17.0,17
1001,Youssouf Sabaly\fbbb9269,DF,Betis,es La Liga,8.8,17
1002,Stefan Savić\f6ac68c1,DF,Atlético Madrid,es La Liga,27.1,17
1003,André Silva\3effaa34,FW,RB Leipzig,de Bundesliga,23.1,17
1004,Augusto Solari\3ca6106c,MFDF,Celta Vigo,es La Liga,7.9,17
1005,Josip Stanišić\7ed08d5c,DF,Bayern Munich,de Bundesliga,7.2,17
1006,Tetê\7120a04d,FWMF,Lyon,fr Ligue 1,6.5,17
1007,Ivan Toney\e09f279b,FW,Brentford,eng Premier League,32.3,17
1008,Georginio Wijnaldum\eb58eef0,MF,Paris S-G,fr Ligue 1,18.4,17
1009,Gabriele Zappa\ca3db240,DF,Cagliari,it Serie A,12.7,17
1010,Oier Zarraga\968a1c2f,MF,Athletic Club,es La Liga,13.0,17
1011,Felix Afena-Gyan\0154d290,FWMF,Roma,it Serie A,7.4,16
1012,Lucien Agoume\8bc8829a,MF,Brest,fr Ligue 1,20.8,16
1013,Rubén Alcaraz\036bba5f,MF,Cádiz,es La Liga,12.3,16
1014,Nadiem Amiri\555d5edd,MFFW,Genoa,it Serie A,7.6,16
1015,Waldemar Anton\5e66fa06,DF,Stuttgart,de Bundesliga,28.8,16
1016,Jóhann Berg Guðmundsson\f72293fc,MF,Burnley,eng Premier League,12.2,16
1017,Louis Beyer\9af1f9ff,DF,M'Gladbach,de Bundesliga,15.4,16
1018,Bilal Brahimi\02bcaf8e,MFFW,Nice,fr Ligue 1,4.2,16
1019,Lilian Brassier\5b146df3,DF,Brest,fr Ligue 1,25.1,16
1020,Cédric Brunner\f0a37d36,DF,Arminia,de Bundesliga,24.3,16
1021,Irvin Cardona\5e080f73,FWMF,Brest,fr Ligue 1,14.8,16
1022,Jesús Corona\fb938d24,FWDF,Sevilla,es La Liga,12.9,16
1023,Vladimír Darida\3eb0f2df,MF,Hertha BSC,de Bundesliga,19.8,16
1024,Konrad De La Fuente\4b77bb89,FWDF,Marseille,fr Ligue 1,8.7,16
1025,Moussa Dembélé\e7986081,FW,Lyon,fr Ligue 1,24.5,16
1026,Luis Díaz\4a1a9578,FW,Liverpool,eng Premier League,10.6,16
1027,Koffi Djidji\933d3b51,DF,Torino,it Serie A,19.3,16
1028,Enzo Ebosse\9ba7b4fa,DF,Angers,fr Ligue 1,21.0,16
1029,Eric García\2bed3eab,DF,Barcelona,es La Liga,22.7,16
1030,Dimitris Giannoulis\112c495e,DF,Norwich City,eng Premier League,13.0,16
1031,Angel Gomes\645a3363,MFFW,Lille,fr Ligue 1,10.6,16
1032,Hugo Guillamón\f7c12fbf,MFDF,Valencia,es La Liga,26.2,16
1033,Genki Haraguchi\f24ea523,MF,Union Berlin,de Bundesliga,19.5,16
1034,Ajdin Hrustic\1f2d714c,MF,Eint Frankfurt,de Bundesliga,10.7,16
1035,Kelechi Iheanacho\c92e1a31,FW,Leicester City,eng Premier League,14.0,16
1036,Maxence Lacroix\277c49ed,DF,Wolfsburg,de Bundesliga,27.7,16
1037,Eduard Löwen\70678132,MF,Bochum,de Bundesliga,15.7,16
1038,Youssef Maleh\4c8845f7,MF,Fiorentina,it Serie A,11.3,16
1039,Rey Manaj\7703afb6,FW,Spezia,it Serie A,19.6,16
1040,Arial Mendy\9f0f4b49,DFFW,Clermont Foot,fr Ligue 1,8.8,16
1041,Dries Mertens\89b2c8a9,FWMF,Napoli,it Serie A,15.4,16
1042,Óscar Mingueza\056269d7,DF,Barcelona,es La Liga,9.9,16
1043,Enock Mwepu\1d5cab82,MFFW,Brighton,eng Premier League,11.1,16
1044,Mickael Nade\a6b6fa6e,DF,Saint-Étienne,fr Ligue 1,28.5,16
1045,Mathias Normann\8996350d,MF,Norwich City,eng Premier League,18.3,16
1046,Pedri\0d9b2d31,MF,Barcelona,es La Liga,9.8,16
1047,Jens Petter Hauge\12c35abe,FWMF,Eint Frankfurt,de Bundesliga,11.6,16
1048,Gerard Piqué\adfc9123,DF,Barcelona,es La Liga,23.2,16
1049,Marvin Plattenhardt\f7aa75bd,DF,Hertha BSC,de Bundesliga,18.2,16
1050,Stefan Posch\7f609bfc,DF,Hoffenheim,de Bundesliga,24.4,16
1051,Fabio Quagliarella\ee4f2f3b,FW,Sampdoria,it Serie A,18.5,16
1052,Sandro Ramírez\833fb62e,FW,Getafe,es La Liga,16.2,16
1053,Stian Rode Gregersen\5f011e05,DF,Bordeaux,fr Ligue 1,21.7,16
1054,Lukas Rupp\3faa1780,MF,Norwich City,eng Premier League,8.5,16
1055,Nicola Sansone\7eb97a8e,FWMF,Bologna,it Serie A,10.0,16
1056,Eldor Shomurodov\57469b2d,FWMF,Roma,it Serie A,8.7,16
1057,Cristian Tello\72a99e38,FWMF,Betis,es La Liga,9.1,16
1058,Marcus Thuram\6f8cd6d0,FWMF,M'Gladbach,de Bundesliga,10.9,16
1059,Miguel Veloso\ab1ca213,MF,Hellas Verona,it Serie A,14.9,16
1060,Valerio Verre\33ecf462,MFFW,Sampdoria,it Serie A,4.7,16
1061,Emanuel Vignato\ec5dae45,MFDF,Bologna,it Serie A,6.6,16
1062,Giorgio Altare\aa5322d5,DF,Cagliari,it Serie A,16.3,15
1063,Serge Aurier\5c2b4f07,DF,Villarreal,es La Liga,11.2,15
1064,Shandon Baptiste\2886c9b5,MF,Brentford,eng Premier League,10.1,15
1065,Herbert Bockhorn\5ad8c360,DF,Bochum,de Bundesliga,9.4,15
1066,Quentin Boisgard\f6496133,MFFW,Lorient,fr Ligue 1,10.6,15
1067,Max Christiansen\e7b899b8,MF,Greuther Fürth,de Bundesliga,22.8,15
1068,Francis Coquelin\a6951bf8,MF,Villarreal,es La Liga,9.2,15
1069,Thierry Correia\c78b352d,DF,Valencia,es La Liga,15.7,15
1070,Hélder Costa\f13d02a6,MFFW,Valencia,es La Liga,12.4,15
1071,Wylan Cyprien\3e092724,MF,Nantes,fr Ligue 1,16.6,15
1072,Fabio Depaoli\d97f2e8d,DF,Hellas Verona,it Serie A,7.8,15
1073,Hugo Ekitike\5b92d896,FW,Reims,fr Ligue 1,14.1,15
1074,Harvey Elliott\c8387671,MF,Liverpool,eng Premier League,3.8,15
1075,Federico Fazio\4e358a2d,DF,Salernitana,it Serie A,15.9,15
1076,Manu García\6ed1a2a2,MF,Alavés,es La Liga,12.0,15
1077,Paolo Ghiglione\71dc23da,DF,Genoa,it Serie A,6.7,15
1078,Sergi Guardiola\32974271,FW,Rayo Vallecano,es La Liga,19.0,15
1079,Jannes Horn\2b83fa49,DF,Köln,de Bundesliga,5.3,15
1080,Joaquín\4c5b14d2,FWMF,Betis,es La Liga,5.2,15
1081,Pavel Kadeřábek\79c90e45,DF,Hoffenheim,de Bundesliga,13.3,15
1082,Presnel Kimpembe\aef6e670,DF,Paris S-G,fr Ligue 1,28.6,15
1083,Youssouf Koné\e6eadfb8,DF,Troyes,fr Ligue 1,10.9,15
1084,Rade Krunić\817c6964,MFFW,Milan,it Serie A,15.7,15
1085,Dejan Kulusevski\df3cda47,FWMF,Juventus,it Serie A,8.6,15
1086,Philipp Lienhart\302527b2,DF,Freiburg,de Bundesliga,31.9,15
1087,Victor Lindelöf\f5deef4c,DF,Manchester Utd,eng Premier League,26.2,15
1088,Banzouzi Locko\40221fa7,DFMF,Reims,fr Ligue 1,11.2,15
1089,Omar Mascarell\11fd2b75,MF,Elche,es La Liga,27.7,15
1090,Thiago Mendes\c6e5d20f,MFDF,Lyon,fr Ligue 1,20.7,15
1091,Pere Milla\335039a2,FWMF,Elche,es La Liga,18.3,15
1092,James Milner\2f90f6b8,MFDF,Liverpool,eng Premier League,9.5,15
1093,Tyrone Mings\8397a50c,DF,Aston Villa,eng Premier League,35.4,15
1094,Aleksei Miranchuk\a9aa0d1d,MFFW,Atalanta,it Serie A,8.6,15
1095,Tanguy Ndombele\5cdddffa,MF,Tottenham,eng Premier League,5.4,15
1096,M'Bala Nzola\a4948e67,FW,Spezia,it Serie A,11.9,15
1097,Mads Pedersen\582a5247,MFDF,Augsburg,de Bundesliga,15.5,15
1098,Lucas Pérez\a300ac7e,FWMF,Cádiz,es La Liga,11.8,15
1099,Ignacio Pussetto\62437b4f,FWMF,Udinese,it Serie A,13.4,15
1100,Ante Rebić\536cebe5,FW,Milan,it Serie A,9.9,15
1101,Ángel Rodríguez\8cfc2f69,FW,Mallorca,es La Liga,17.2,15
1102,Georginio Rutter\c64c01fc,FWMF,Hoffenheim,de Bundesliga,17.9,15
1103,Jerdy Schouten\2cfae697,MF,Bologna,it Serie A,15.5,15
1104,Nico Schulz\fa274d97,DF,Dortmund,de Bundesliga,9.3,15
1105,Fábio Silva\e7aa9d7c,FW,Wolves,eng Premier League,6.4,15
1106,Japhet Tanganga\e9971f2d,DF,Tottenham,eng Premier League,8.2,15
1107,Nathan Tella\f1e94cd6,MFFW,Southampton,eng Premier League,8.9,15
1108,Hwang Ui-jo\a2d873dd,FW,Bordeaux,fr Ligue 1,27.9,15
1109,Tonny Vilhena\c7069d87,MFFW,Espanyol,es La Liga,10.3,15
1110,Jetro Willems\9050ddc4,DF,Greuther Fürth,de Bundesliga,17.8,15
1111,Amath\f3b1d9a2,FWMF,Mallorca,es La Liga,9.8,14
1112,Ante Budimir\8f3565b3,FW,Osasuna,es La Liga,19.3,14
1113,Brendan Chardonnet\16aa7d4c,DF,Brest,fr Ligue 1,29.8,14
1114,Matteo Darmian\96e0490d,DF,Inter,it Serie A,16.7,14
1115,Stéphane Diarra\29939a1d,FWMF,Lorient,fr Ligue 1,5.8,14
1116,Axel Disasi\ad82197c,DF,Monaco,fr Ligue 1,30.2,14
1117,Fernandinho\101da2b5,MFDF,Manchester City,eng Premier League,10.7,14
1118,Fransérgio\deba6b05,MF,Bordeaux,fr Ligue 1,14.0,14
1119,Raúl García\b418dbd4,FW,Athletic Club,es La Liga,20.0,14
1120,Ben Gibson\bcfb0142,DF,Norwich City,eng Premier League,27.7,14
1121,Andrei Girotto\3befc2b6,DFMF,Nantes,fr Ligue 1,35.0,14
1122,Jeffrey Gouweleeuw\1025db8e,DF,Augsburg,de Bundesliga,28.6,14
1123,Andrés Guardado\ef322658,MF,Betis,es La Liga,15.5,14
1124,Nicolas Haas\fa449bba,MF,Empoli,it Serie A,11.1,14
1125,Thomas Henry\9ef42479,FW,Venezia,it Serie A,23.5,14
1126,Ander Herrera\436a9dd0,MF,Paris S-G,fr Ligue 1,12.1,14
1127,Héctor Herrera\a8542814,MF,Atlético Madrid,es La Liga,9.5,14
1128,Yangel Herrera\e778654a,MF,Espanyol,es La Liga,18.3,14
1129,James Justin\fb614c44,DF,Leicester City,eng Premier League,11.1,14
1130,Jonjoe Kenny\099e666f,DF,Everton,eng Premier League,11.3,14
1131,Mateo Klimowicz\2b7c56b4,FWMF,Stuttgart,de Bundesliga,6.7,14
1132,Dominik Kohr\0fbecd11,MF,Mainz 05,de Bundesliga,17.9,14
1133,Jérémy Le Douaron\88c4d190,FW,Brest,fr Ligue 1,16.1,14
1134,Myziane Maolida\706a60e1,FWMF,Hertha BSC,de Bundesliga,8.6,14
1135,Gonzalo Melero\3902e91b,MF,Levante,es La Liga,18.8,14
1136,Vedat Muriqi\0cadc46d,FW,Mallorca,es La Liga,16.0,14
1137,Pedro Neto\7ba2eaa9,FWMF,Wolves,eng Premier League,5.2,14
1138,Ibrahima Niane\46faabfa,FW,Metz,fr Ligue 1,17.6,14
1139,Randy Ntekja\a6103274,FWMF,Rayo Vallecano,es La Liga,16.2,14
1140,Alberto Perea\5496cc91,MF,Cádiz,es La Liga,8.6,14
1141,Kike Pérez\237a3851,FWMF,Elche,es La Liga,5.8,14
1142,Riqui Puig\f090a37a,MF,Barcelona,es La Liga,5.4,14
1143,Wesley Saïd\90fcf472,FWMF,Lens,fr Ligue 1,7.3,14
1144,Diadie Samassékou\08593525,MF,Hoffenheim,de Bundesliga,18.4,14
1145,Antonio Sánchez\a254bbe0,MFFW,Mallorca,es La Liga,18.0,14
1146,Adama Soumaoro\7b075c75,DF,Bologna,it Serie A,25.2,14
1147,Lars Stindl\7cd6badb,MFFW,M'Gladbach,de Bundesliga,18.1,14
1148,Morten Thorsby\d1b49282,MF,Sampdoria,it Serie A,32.7,14
1149,Jamie Vardy\45963054,FW,Leicester City,eng Premier League,20.1,14
1150,Dušan Vlahović\79443529,FW,Fiorentina,it Serie A,20.6,14
1151,Harry Winks\2f7acede,MF,Tottenham,eng Premier League,10.1,14
1152,Axel Witsel\5dfc6ad5,MFDF,Dortmund,de Bundesliga,21.6,14
1153,Joseba Zaldúa\5ca20b7a,DF,Real Sociedad,es La Liga,13.0,14
1154,Nadir Zortea\82598b71,DFMF,Salernitana,it Serie A,15.7,14
1155,Nathan Aké\eaeca114,DF,Manchester City,eng Premier League,10.3,13
1156,Yeray Álvarez\3ecc11d8,DF,Athletic Club,es La Liga,20.7,13
1157,Nadiem Amiri\555d5edd,MFFW,Leverkusen,de Bundesliga,4.1,13
1158,Christopher Antwi-Adjei\0a3f6cde,FWMF,Bochum,de Bundesliga,12.6,13
1159,Ross Barkley\3a24769f,MF,Chelsea,eng Premier League,2.0,13
1160,Rodrigo Battaglia\d637fc22,MF,Mallorca,es La Liga,13.1,13
1161,Mitchell van Bergen\0b2c9aec,FWMF,Reims,fr Ligue 1,10.9,13
1162,El Bilal Touré\47c609d5,FW,Reims,fr Ligue 1,13.3,13
1163,Duje Ćaleta-Car\94f8d10c,DF,Marseille,fr Ligue 1,22.9,13
1164,Pietro Ceccaroni\4d1efb48,DF,Venezia,it Serie A,34.7,13
1165,Rayan Cherki\b34c63a5,FWMF,Lyon,fr Ligue 1,4.9,13
1166,Tanguy Coulibaly\05ba9d7c,DFFW,Stuttgart,de Bundesliga,12.0,13
1167,Moanes Dabbur\eac044ad,FWMF,Hoffenheim,de Bundesliga,14.6,13
1168,Mikkel Damsgaard\215f3907,MFFW,Sampdoria,it Serie A,6.4,13
1169,Andy Delort\d33c706e,FW,Nice,fr Ligue 1,27.2,13
1170,Eric Dier\ac861941,DF,Tottenham,eng Premier League,34.1,13
1171,Julian Draxler\1a992676,FWMF,Paris S-G,fr Ligue 1,6.1,13
1172,Jeremy Dudziak\5a8d6540,MFFW,Greuther Fürth,de Bundesliga,12.6,13
1173,Albin Ekdal\f503ea63,MF,Sampdoria,it Serie A,18.2,13
1174,Dani García\240d3a0b,MF,Athletic Club,es La Liga,24.2,13
1175,Maxi Gómez\4c2e9442,FW,Valencia,es La Liga,21.7,13
1176,Andrew Gravillon\49136c42,DF,Reims,fr Ligue 1,23.7,13
1177,Thilo Kehrer\51dbeea9,DF,Paris S-G,fr Ligue 1,16.8,13
1178,Lukas Klostermann\ca8033cb,DF,RB Leipzig,de Bundesliga,18.3,13
1179,Florian Krüger\f9f92b5f,FWMF,Arminia,de Bundesliga,12.5,13
1180,Alexandre Lacazette\9dbb75ca,FWMF,Arsenal,eng Premier League,19.8,13
1181,Aaron Lennon\2ff964a0,MF,Burnley,eng Premier League,17.2,13
1182,Dion Lopy\64c14d49,MF,Reims,fr Ligue 1,18.2,13
1183,Sebastiano Luperto\997fff07,DF,Empoli,it Serie A,21.8,13
1184,Habib Maïga\e768de1f,MFFW,Metz,fr Ligue 1,14.1,13
1185,Thomas Mangani\c801616a,MF,Angers,fr Ligue 1,24.4,13
1186,Arthur Melo\48b3dd60,MF,Juventus,it Serie A,10.7,13
1187,Opa Nguette\75a63397,FWMF,Metz,fr Ligue 1,11.6,13
1188,Håvard Nielsen\b18ef366,MFFW,Greuther Fürth,de Bundesliga,15.2,13
1189,Jean Onana\b5bb8188,MF,Bordeaux,fr Ligue 1,20.4,13
1190,Javier Pastore\881ef58c,MFFW,Elche,es La Liga,5.8,13
1191,Nicolas Pépé\57e3f0c7,FWMF,Arsenal,eng Premier League,7.7,13
1192,Ayoze Pérez\819aa8e7,MFFW,Leicester City,eng Premier League,4.9,13
1193,Nehuén Pérez\f7c491f1,DF,Udinese,it Serie A,18.8,13
1194,Diego Perotti\a40d5a0c,FWMF,Salernitana,it Serie A,3.2,13
1195,Tobias Raschl\bd992863,MF,Greuther Fürth,de Bundesliga,6.6,13
1196,Tomás Rincón\f1cfc209,MF,Sampdoria,it Serie A,13.0,13
1197,Jay Rodriguez\4ab53cdb,FW,Burnley,eng Premier League,15.4,13
1198,Malang Sarr\4315f30d,DF,Chelsea,eng Premier League,6.1,13
1199,Fabian Schär\c8aa95da,DF,Newcastle Utd,eng Premier League,24.0,13
1200,Jeffrey Schlupp\3312f911,MFFW,Crystal Palace,eng Premier League,20.6,13
1201,Kostas Stafylidis\861e0116,DFMF,Bochum,de Bundesliga,15.4,13
1202,Kevin Stöger\e5649a78,MFFW,Mainz 05,de Bundesliga,4.7,13
1203,Tiago Tomás\b492126a,FW,Stuttgart,de Bundesliga,11.9,13
1204,Martin Valjent\f2c6ac01,DF,Mallorca,es La Liga,35.3,13
1205,Valerio Verre\33ecf462,MFFW,Empoli,it Serie A,3.4,13
1206,Arturo Vidal\67cdbc0e,MF,Inter,it Serie A,8.2,13
1207,Danny Welbeck\ce5143da,FW,Brighton,eng Premier League,16.4,13
1208,Anel Ahmedhodzic\eab957a3,DF,Bordeaux,fr Ligue 1,15.0,12
1209,Jean-Eudes Aholou\48b28bfd,MF,Strasbourg,fr Ligue 1,11.2,12
1210,Manuel Akanji\89ac64a6,DF,Dortmund,de Bundesliga,25.1,12
1211,Marc Albrighton\b827d5b3,FWDF,Leicester City,eng Premier League,12.6,12
1212,Charles Aránguiz\56413b1f,MF,Leverkusen,de Bundesliga,17.5,12
1213,Ronald Araújo\2bef2bca,DF,Barcelona,es La Liga,25.2,12
1214,Keita Baldé\509a4ccb,FWMF,Cagliari,it Serie A,13.7,12
1215,Ander Barrenetxea\200e89e1,FWMF,Real Sociedad,es La Liga,6.1,12
1216,Jacob Barrett Laursen\c0d3bd23,DF,Arminia,de Bundesliga,18.1,12
1217,Haris Belkebla\2b1bed19,MF,Brest,fr Ligue 1,25.7,12
1218,Stefan Bell\857a5abe,DF,Mainz 05,de Bundesliga,31.8,12
1219,Juan Bernat\433dc9a2,DF,Paris S-G,fr Ligue 1,10.6,12
1220,Bryan\7b5ab7f2,MFFW,Valencia,es La Liga,8.4,12
1221,Rémy Cabella\148e136f,MFFW,Montpellier,fr Ligue 1,3.5,12
1222,Guido Carrillo\8f898ba8,FW,Elche,es La Liga,13.0,12
1223,Jonny Castro\e28868f3,DF,Wolves,eng Premier League,11.4,12
1224,Pathé Ciss\9a0408b6,MF,Rayo Vallecano,es La Liga,12.2,12
1225,Marcus Coco\3010aefb,FWDF,Nantes,fr Ligue 1,10.3,12
1226,Alessandro Deiola\7f267d66,MF,Cagliari,it Serie A,23.7,12
1227,Habib Diallo\6605d143,FW,Strasbourg,fr Ligue 1,17.1,12
1228,Matt Doherty\d557d734,DF,Tottenham,eng Premier League,9.7,12
1229,Niklas Dorsch\7f73bdf4,MF,Augsburg,de Bundesliga,25.8,12
1230,Eberechi Eze\ae4fc6a4,MFFW,Crystal Palace,eng Premier League,6.7,12
1231,Alexis Flips\caef7840,FWMF,Reims,fr Ligue 1,11.7,12
1232,Faouzi Ghoulam\c5adc293,DF,Napoli,it Serie A,3.7,12
1233,Josuha Guilavogui\e6c43eec,MFDF,Wolfsburg,de Bundesliga,10.5,12
1234,Albert Guðmundsson\b79858d5,FWMF,Genoa,it Serie A,6.7,12
1235,André Hahn\cd82452e,MFFW,Augsburg,de Bundesliga,23.3,12
1236,Will Hughes\a0666d3e,MF,Crystal Palace,eng Premier League,11.7,12
1237,Igor\a4e85758,DF,Fiorentina,it Serie A,24.9,12
1238,Jonathan Ikone\42eaa028,FW,Fiorentina,it Serie A,7.2,12
1239,Isco\a0b4bb3e,MFFW,Real Madrid,es La Liga,3.0,12
1240,Marc-Oliver Kempf\815c314f,DF,Stuttgart,de Bundesliga,9.3,12
1241,Kalidou Koulibaly\da974c7b,DF,Napoli,it Serie A,26.7,12
1242,Max Kruse\f9446dcd,FWMF,Union Berlin,de Bundesliga,14.1,12
1243,Karol Linetty\d023d70f,MFFW,Torino,it Serie A,10.0,12
1244,Anthony Losilla\07c7eb0c,MF,Bochum,de Bundesliga,32.6,12
1245,Romelu Lukaku\5eae500a,FW,Chelsea,eng Premier League,17.7,12
1246,Abdul Majeed Waris\46907171,MFFW,Strasbourg,fr Ligue 1,3.6,12
1247,Anthony Martial\8b788c01,FWMF,Sevilla,es La Liga,5.4,12
1248,Roberto Massimo\fc62fdf4,DFFW,Stuttgart,de Bundesliga,9.7,12
1249,Monchu\8ac501f5,MF,Granada,es La Liga,7.4,12
1250,Ilaix Moriba\f4c69aa6,MF,Valencia,es La Liga,9.1,12
1251,Amadou Onana\828657ff,MF,Lille,fr Ligue 1,15.1,12
1252,Adam Ounas\ed90babd,MFFW,Napoli,it Serie A,3.6,12
1253,Luca Pellegrini\3b61c9ec,DF,Juventus,it Serie A,12.3,12
1254,Maximilian Philipp\061e8e23,MFFW,Wolfsburg,de Bundesliga,10.7,12
1255,Kalvin Phillips\4f565d77,MF,Leeds United,eng Premier League,17.7,12
1256,Sebastian Polter\3745e8bd,FW,Bochum,de Bundesliga,26.0,12
1257,Manolo Portanova\c8c0dccd,FWMF,Genoa,it Serie A,14.7,12
1258,Uroš Račić\faed84db,MF,Valencia,es La Liga,13.4,12
1259,Rafinha\0c2ac3cb,FWMF,Paris S-G,fr Ligue 1,2.4,12
1260,Rubén Rochina\ecd8c01e,MFFW,Granada,es La Liga,8.3,12
1261,Gerson Rodrigues\3814b753,FW,Troyes,fr Ligue 1,9.4,12
1262,Marko Rog\b6b2b820,MF,Cagliari,it Serie A,3.5,12
1263,Abdelhamid Sabiri\4830e0af,MFFW,Sampdoria,it Serie A,9.9,12
1264,Ellyes Skhiri\c2211709,MF,Köln,de Bundesliga,20.2,12
1265,Çağlar Söyüncü\21166ff4,DF,Leicester City,eng Premier League,27.7,12
1266,Angelo Stiller\3b1ed320,MF,Hoffenheim,de Bundesliga,18.8,12
1267,Matt Targett\e514ab62,DF,Newcastle Utd,eng Premier League,16.0,12
1268,Vanderson\ee45fd85,FWMF,Monaco,fr Ligue 1,12.4,12
1269,Johan Vásquez\5eaed77a,DF,Genoa,it Serie A,25.3,12
1270,Lorenzo Venuti\983ff2c7,DF,Fiorentina,it Serie A,17.5,12
1271,Kevin Vogt\1d8e9add,DF,Hoffenheim,de Bundesliga,28.5,12
1272,Timo Werner\49fe9070,FWMF,Chelsea,eng Premier League,14.3,12
1273,Pierre-Emerick Aubameyang\d5dd5f1f,FW,Arsenal,eng Premier League,11.5,11
1274,Leon Bailey\3a233281,FWMF,Aston Villa,eng Premier League,8.5,11
1275,Armel Bella Kotchap\a39d11bc,DF,Bochum,de Bundesliga,19.6,11
1276,Jean-Paul Boëtius\635f2732,MF,Mainz 05,de Bundesliga,20.0,11
1277,Dylan Bronn\edd81e2a,DF,Metz,fr Ligue 1,28.3,11
1278,Alessandro Buongiorno\4ae67f27,DF,Torino,it Serie A,13.1,11
1279,Leandro Cabrera\69cbc8b6,DF,Espanyol,es La Liga,37.0,11
1280,Francesco Caputo\5bd72174,FW,Sampdoria,it Serie A,31.0,11
1281,Dani Ceballos\c0617e2b,MF,Real Madrid,es La Liga,3.1,11
1282,Dylan Chambost\dbde4959,MFFW,Troyes,fr Ligue 1,8.4,11
1283,Vlad Chiricheș\c316607a,DF,Sassuolo,it Serie A,25.6,11
1284,Ebrima Colley\bf356094,FWMF,Spezia,it Serie A,4.4,11
1285,Jack Cork\74e12f1e,MF,Burnley,eng Premier League,18.6,11
1286,Mickaël Cuisance\5722eced,MF,Venezia,it Serie A,10.2,11
1287,Lucas Da Cunha\007faf7a,MF,Nice,fr Ligue 1,4.4,11
1288,Dante\fd2bc67d,DF,Nice,fr Ligue 1,31.9,11
1289,Ermedin Demirović\ed79b7d3,FWMF,Freiburg,de Bundesliga,9.7,11
1290,Leander Dendoncker\5a7301ae,MF,Wolves,eng Premier League,21.7,11
1291,Mitchell Dijks\0a3065c8,DF,Bologna,it Serie A,7.7,11
1292,Tristan Dingomé\92b56413,MFFW,Troyes,fr Ligue 1,12.0,11
1293,Anastasios Donis\0f26fd24,FWMF,Reims,fr Ligue 1,4.1,11
1294,Kieran Dowell\2f6ec02a,FWMF,Norwich City,eng Premier League,10.1,11
1295,Riccardo Fiamozzi\9f9b9269,DF,Empoli,it Serie A,6.9,11
1296,Karol Fila\50ac8941,DF,Strasbourg,fr Ligue 1,6.2,11
1297,José Fonte\90f87966,DF,Lille,fr Ligue 1,38.0,11
1298,Pablo Galdames Millán\dd403465,MF,Genoa,it Serie A,11.4,11
1299,Thiago Galhardo\766f48dd,FWMF,Celta Vigo,es La Liga,12.8,11
1300,Saman Ghoddos\f7b1d4e0,DFMF,Brentford,eng Premier League,6.0,11
1301,Josuha Guilavogui\e6c43eec,MFDF,Bordeaux,fr Ligue 1,14.8,11
1302,Gerard Gumbau\ac454a4f,MF,Elche,es La Liga,21.0,11
1303,Abdou Harroui\65fd099c,MF,Sassuolo,it Serie A,5.0,11
1304,Patrick Herrmann\dfb6490a,DFFW,M'Gladbach,de Bundesliga,8.4,11
1305,Vicente Iborra\ad1ffcfd,MF,Villarreal,es La Liga,11.5,11
1306,Danylo Ihnatenko\65bbfba3,MF,Bordeaux,fr Ligue 1,7.7,11
1307,Willian José\d87e2cae,FW,Betis,es La Liga,17.8,11
1308,Fabian Kunze\d25fee56,MF,Arminia,de Bundesliga,14.0,11
1309,Stefan Lainer\4aea5077,DF,M'Gladbach,de Bundesliga,16.3,11
1310,Yasser Larouci\0ed063d6,DF,Troyes,fr Ligue 1,3.8,11
1311,Clément Lenglet\4f28a6ff,DF,Barcelona,es La Liga,9.2,11
1312,Imran Louza\e1df6989,MF,Watford,eng Premier League,15.7,11
1313,Maranhão\ae86d473,FWMF,Valencia,es La Liga,10.8,11
1314,Eliot Matazo\15944afd,MF,Monaco,fr Ligue 1,8.8,11
1315,William Mikelbrencis\14df1d7f,DF,Metz,fr Ligue 1,6.8,11
1316,Nikola Milenković\bee704fc,DF,Fiorentina,it Serie A,32.5,11
1317,Rafa Mir\bbf5c11b,FW,Sevilla,es La Liga,20.1,11
1318,Anthony Modeste\34e4343c,FW,Köln,de Bundesliga,29.0,11
1319,Cristian Molinaro\1c8c5aed,DF,Venezia,it Serie A,6.1,11
1320,Samuel Moutoussamy\af0c835b,MF,Nantes,fr Ligue 1,16.8,11
1321,Tanguy Ndombele\5cdddffa,MF,Lyon,fr Ligue 1,7.8,11
1322,Luca Netz\e79269bd,DF,M'Gladbach,de Bundesliga,15.5,11
1323,Warmed Omari\4534a352,DF,Rennes,fr Ligue 1,31.1,11
1324,Felix Passlack\5c899683,DF,Dortmund,de Bundesliga,5.2,11
1325,Facundo Pellistri\ac7e7b1c,MFFW,Alavés,es La Liga,7.5,11
